"","Gene1","Gene2","Correlation"
"7","ATP6V0E1","C4orf3",0.58534699211872
"55","C17orf59","C4orf3",0.67982621117191
"66","C1orf198","C4orf3",0.679634685692009
"70","ADH5","C4orf3",0.631068030188545
"135","GSTO1","TSC22D1",0.566992064070396
"141","CLDN5","TSC22D1",0.663740308148024
"144","PTCRA","TSC22D1",0.599778998166875
"147","MMD","TSC22D1",0.707118826357864
"149","HIST1H2BJ","TSC22D1",0.786552422328328
"151","MAP3K7CL","TSC22D1",0.722954050204025
"156","SLC40A1","TSC22D1",0.882494519318702
"161","CCND3","TSC22D1",0.630140357904487
"162","PLA2G12A","TSC22D1",0.570928987768613
"168","RASGRP2","TSC22D1",0.638190686044811
"183","TMEM140","TSC22D1",0.581325052377612
"184","ESAM","TSC22D1",0.606773735429809
"190","CCNG1","TSC22D1",0.754971976439076
"195","HIST1H2AC","TSC22D1",0.631851615782824
"200","MPP1","TSC22D1",0.575382811120883
"207","FYB","TSC22D1",0.746787298251639
"209","SPOCD1","TSC22D1",0.621757464241566
"216","NFE2","TSC22D1",0.590288184055762
"221","ARHGAP6","TSC22D1",0.690090651529808
"234","GTPBP2","TSC22D1",0.593318106345844
"247","LINC01003","TSC22D1",0.6271338589796
"249","IDH2","TSC22D1",0.694231051546986
"251","BTK","TSC22D1",0.637554487955312
"255","NEXN","TSC22D1",0.618612244253448
"265","SIAH2","TSC22D1",0.642367410548546
"266","RAB27B","TSC22D1",0.642367410548546
"274","PCP2","TSC22D1",0.640120915356888
"282","AC137932.6","TSC22D1",0.623083084892127
"283","HEXIM2","TSC22D1",0.623083084892127
"290","RWDD1","TSC22D1",0.595834635281469
"567","LAMTOR1","VDAC3",0.582249056974994
"582","DIAPH1","VDAC3",0.765885797751327
"584","AP001189.4","VDAC3",0.634026368736929
"601","TBC1D15","VDAC3",0.739891369849021
"609","MFF","VDAC3",0.653454373974456
"620","GRN","VDAC3",0.700946958595123
"623","PSMA1","VDAC3",0.729161992539934
"624","STX4","VDAC3",0.729161992539934
"626","ARRDC3","VDAC3",0.744625764896615
"628","FN3KRP","VDAC3",0.744625764896615
"689","ACRBP","GSTO1",0.877538280699075
"697","CMTM5","GSTO1",0.670604630109735
"712","CLEC1B","GSTO1",0.786440306985831
"737","CCNG1","GSTO1",0.737045719003383
"739","GP1BA","GSTO1",0.58499798079451
"754","ACP1","GSTO1",0.651212524589941
"765","ARHGAP6","GSTO1",0.565185756316834
"797","BTK","GSTO1",0.625165462193039
"814","EGFL7","GSTO1",0.556716888068277
"832","AC137932.6","GSTO1",0.598811532552756
"1389","CA2","CLU",0.62187372308472
"1484","ACTB","CLU",0.840830849193852
"1535","B2M","CLU",0.917279067341525
"1581","CCL5","CLU",0.677762776964296
"1601","HIST1H2BJ","TALDO1",0.617853612294681
"1603","GABARAPL2","TALDO1",0.645190233284588
"1606","SRGN","TALDO1",0.620359144039101
"1607","ODC1","TALDO1",0.688207129220016
"1613","PLA2G12A","TALDO1",0.66326016264564
"1647","MPP1","TALDO1",0.772068129817282
"1705","PCNP","TALDO1",0.576551324138156
"1725","GNG11","TALDO1",0.565089690714963
"1726","SMS","TALDO1",0.61452147460826
"1755","ARID4B","TALDO1",0.577612499064353
"1756","SNX17","TALDO1",0.577612499064353
"1757","SNHG8","TALDO1",0.577612499064353
"1758","CNPY3","TALDO1",0.577612499064353
"1763","PRDX1","TALDO1",0.590541058165607
"1764","C3orf38","TALDO1",0.590541058165607
"1766","NSMAF","TALDO1",0.590541058165607
"1767","CCPG1","TALDO1",0.590541058165607
"1768","NFIC","TALDO1",0.590541058165607
"1769","KCNK6","TALDO1",0.590541058165607
"1825","RGS18","TALDO1",0.63709258018788
"1879","CST3","MT-CO2",0.601277748786427
"1891","CCND3","MT-CO2",0.564999269112374
"1899","HGD","MT-CO2",0.576544280814754
"1916","ITGB3","MT-CO2",0.580709407137014
"1918","C6orf25","MT-CO2",0.555143685629909
"1921","MPP1","MT-CO2",0.630158540177497
"2421","ACP1","ACRBP",0.746261209583339
"2477","ABCC3","ACRBP",0.624839072812677
"3259","CCNG1","CLDN5",0.791036233599937
"3314","BTK","CLDN5",0.573872928018268
"3324","ABCC3","CLDN5",0.674760347048546
"3348","AC137932.6","CLDN5",0.591408567331782
"3683","TALDO1","TUBB1",0.594112065305611
"3735","HIST1H2AC","TUBB1",0.740751977189433
"3737","ASAH1","TUBB1",0.815372021990022
"3740","MPP1","TUBB1",0.554070735177907
"3818","GNG11","TUBB1",0.591894711529669
"3859","SH3BGRL3","TUBB1",0.576693727447059
"3877","SDPR","TUBB1",0.598325958362239
"3922","CCL5","TUBB1",0.57011144984865
"3927","RGS18","TUBB1",0.596025767221058
"3933","OAZ1","TUBB1",0.648607169407859
"3979","C4orf3","CA2",0.556017539744891
"4170","B2M","CA2",0.66332066117526
"4358","CLU","UBB",0.641500447827104
"4392","LAMTOR1","UBB",0.75750898690885
"4398","LEPROT","UBB",0.625704987303423
"4407","GP9","UBB",0.567773995163661
"4461","GNG11","UBB",0.57429433203993
"4497","SH3BGRL3","UBB",0.677725488030126
"4527","TMSB4X","UBB",0.695549777833851
"4568","OAZ1","UBB",0.589030004811234
"4594","CLU","TREML1",0.600336074579284
"4604","SRGN","TREML1",0.603240069615411
"4746","TMSB4X","TREML1",0.556633164363241
"4794","GPX1","TREML1",0.641297205432572
"4796","GSTO1","PTCRA",0.751591491745681
"4799","ACRBP","PTCRA",0.790685206410141
"4801","CLDN5","PTCRA",0.565301110888023
"4806","MMD","PTCRA",0.625952700379711
"4808","HIST1H2BJ","PTCRA",0.651866920945799
"4810","MAP3K7CL","PTCRA",0.675920265034833
"4825","CLEC1B","PTCRA",0.553073922048963
"4833","NT5C3A","PTCRA",0.638906918934049
"4848","CCNG1","PTCRA",0.603551188773235
"5267","ACADVL","COTL1",0.571756691233081
"5694","FERMT3","MAX",0.577237678467328
"5698","AP2S1","MAX",0.625850958969836
"5707","AC147651.3","MAX",0.795060062421447
"5736","ACP1","MAX",0.646959877744156
"6180","ARG2","ARL6IP5",0.557999608800914
"6350","GSTO1","MMD",0.665554183087538
"6363","MAP3K7CL","MMD",0.627217015244166
"6374","CLEC1B","MMD",0.565712361553777
"6385","GRAP2","MMD",0.605910724125447
"6404","GP1BA","MMD",0.636870966283294
"6448","GTPBP2","MMD",0.562058259390012
"7241","ARRDC3","ATP6V0E1",0.60413254381165
"7483","CLDN5","HIST1H2BJ",0.827829949398841
"7523","ESAM","HIST1H2BJ",0.614501468806699
"7529","CCNG1","HIST1H2BJ",0.764988541798531
"7542","FYB","HIST1H2BJ",0.566141369644134
"7587","BTK","HIST1H2BJ",0.649352673647962
"7604","EGFL7","HIST1H2BJ",0.571633022549896
"7621","AC137932.6","HIST1H2BJ",0.599014734934487
"7622","HEXIM2","HIST1H2BJ",0.599014734934487
"7716","CD55","HIST1H2BJ",0.563077364219029
"7717","ASAP2","HIST1H2BJ",0.563077364219029
"7718","FGFR1OP2","HIST1H2BJ",0.563077364219029
"7720","HDAC5","HIST1H2BJ",0.563077364219029
"7726","DCAF8","HIST1H2BJ",0.572132563653669
"7730","BTN3A2","HIST1H2BJ",0.572132563653669
"7732","FNTA","HIST1H2BJ",0.572132563653669
"7733","COMMD3","HIST1H2BJ",0.572132563653669
"7739","EIF1AY","HIST1H2BJ",0.572132563653669
"7891","AP3S1","DMTN",0.679458990694053
"7948","BTK","DMTN",0.728875843520047
"7981","AC137932.6","DMTN",0.643088252632813
"8064","CORO1C","DMTN",0.570165814222924
"8071","CD55","DMTN",0.61009362950945
"8072","ASAP2","DMTN",0.61009362950945
"8081","DCAF8","DMTN",0.658731290291813
"8085","BTN3A2","DMTN",0.658731290291813
"8088","COMMD3","DMTN",0.658731290291813
"8119","DDB2","DMTN",0.667312406873352
"8122","CDC16","DMTN",0.667312406873352
"8201","GSTO1","MAP3K7CL",0.847425487646638
"8203","ACRBP","MAP3K7CL",0.706060765977371
"8214","HIST1H2BJ","MAP3K7CL",0.557087397310529
"8217","GABARAPL2","MAP3K7CL",0.555306760296541
"8231","CLEC1B","MAP3K7CL",0.549266486395925
"8248","ESAM","MAP3K7CL",0.621183698611819
"8249","ICAM2","MAP3K7CL",0.613018121730316
"8256","CCNG1","MAP3K7CL",0.765280276050353
"8259","HIST1H2AC","MAP3K7CL",0.571124162907437
"8266","ADI1","MAP3K7CL",0.598077023709267
"8269","FYB","MAP3K7CL",0.571509353441044
"8283","CD47","MAP3K7CL",0.552365739437963
"8284","ARHGAP6","MAP3K7CL",0.582624743621177
"8294","LCN2","MAP3K7CL",0.58170623427521
"8298","HMGB2","MAP3K7CL",0.588024454201181
"8301","ENKUR","MAP3K7CL",0.590502412228031
"8309","GFI1B","MAP3K7CL",0.576087229049968
"8311","LINC01003","MAP3K7CL",0.693311812227237
"8312","FAM212A","MAP3K7CL",0.555914820051447
"8313","IDH2","MAP3K7CL",0.58208068604424
"8314","BTK","MAP3K7CL",0.549311007962391
"8339","ARG2","MAP3K7CL",0.550914060939672
"8695","ATP6V1D","GABARAPL2",0.556135504292955
"8931","C19orf24","CD74",0.642680517468819
"8955","C16orf13","CD74",0.583523610795395
"9039","BSDC1","CD74",0.608105770190966
"9047","AL928768.3","CD74",0.608105770190966
"9058","BLOC1S1","CD74",0.581552689842184
"9068","CCDC109B","CD74",0.610460851426292
"9070","ATP5A1","CD74",0.610460851426292
"9105","ASB8","CD74",0.639934490432823
"9144","C1orf50","CD74",0.608105770190967
"9146","BOLA3","CD74",0.608105770190967
"9161","AQP3","CD74",0.608105770190967
"9179","ACD","CD74",0.608105770190967
"9182","AC113189.5","CD74",0.608105770190967
"9188","CCDC94","CD74",0.608105770190967
"9578","ANXA1","CD82",0.619511237445369
"9579","BNIP2","CD82",0.638167660206437
"9606","ANKRD49","CD82",0.990359669317966
"9723","ODC1","SRGN",0.584688837563597
"9758","MPP1","SRGN",0.661631462190881
"9896","RFC2","SRGN",0.582741527179843
"9897","RAB1B","SRGN",0.582741527179843
"9898","CIRH1A","SRGN",0.582741527179843
"9899","NBR1","SRGN",0.582741527179843
"9900","LGALS3BP","SRGN",0.582741527179843
"9901","ACTN4","SRGN",0.582741527179843
"9934","HLA-DRA","ODC1",0.620676401169665
"9963","MPP1","ODC1",0.690793387935681
"10328","AP2S1","FERMT3",0.799765370558597
"10329","F13A1","FERMT3",0.597331561834232
"10625","AP001189.4","C9orf16",0.686274932213303
"10681","ARRDC3","C9orf16",0.55788965912675
"10921","GSTO1","SLC40A1",0.755539214138765
"10923","ACRBP","SLC40A1",0.601581166451875
"10925","CLDN5","SLC40A1",0.663733462797959
"10929","PTCRA","SLC40A1",0.659292274943481
"10932","MMD","SLC40A1",0.551048953084126
"10934","HIST1H2BJ","SLC40A1",0.657545611682136
"10936","MAP3K7CL","SLC40A1",0.838017674446068
"10953","RASGRP2","SLC40A1",0.583219893047003
"10968","ESAM","SLC40A1",0.730086851976111
"10969","ICAM2","SLC40A1",0.557301628790828
"10974","CCNG1","SLC40A1",0.856581163937521
"10978","HIST1H2AC","SLC40A1",0.576850448415372
"10989","FYB","SLC40A1",0.701113070819272
"10994","FAM110A","SLC40A1",0.609017423248511
"10998","NFE2","SLC40A1",0.552636349573447
"11002","ARHGAP6","SLC40A1",0.79010973846276
"11006","NDUFA5","SLC40A1",0.681261531477033
"11016","GTPBP2","SLC40A1",0.559826906042156
"11017","HMGB2","SLC40A1",0.564222707358806
"11030","LINC01003","SLC40A1",0.623505735978368
"11033","IDH2","SLC40A1",0.808961833397938
"11034","BTK","SLC40A1",0.734420195396105
"11039","NEXN","SLC40A1",0.616227979107167
"11049","SIAH2","SLC40A1",0.748447919149967
"11050","RAB27B","SLC40A1",0.748447919149967
"11052","EGFL7","SLC40A1",0.65856256264333
"11054","DAB2","SLC40A1",0.611040246792987
"11058","PCP2","SLC40A1",0.750875306970805
"11066","AC137932.6","SLC40A1",0.746391474739183
"11067","HEXIM2","SLC40A1",0.746391474739183
"11072","hsa-mir-1199","SLC40A1",0.618862001206098
"11073","RWDD1","SLC40A1",0.727729124091226
"11074","DNAJC8","SLC40A1",0.65875215941376
"11078","LTB","SLC40A1",0.618976812444671
"11090","ATP1A1","SLC40A1",0.614350067311925
"11091","SERPINE1","SLC40A1",0.614350067311925
"11092","C14orf166","SLC40A1",0.614350067311925
"11100","MNDA","SLC40A1",0.596217186045049
"11101","MADD","SLC40A1",0.596217186045049
"11102","CHTF8","SLC40A1",0.596217186045049
"11297","C4orf3","WBP2",0.629714399028644
"11298","VDAC3","WBP2",0.560229628708096
"11302","MAX","WBP2",0.745168213366481
"11317","AC147651.3","WBP2",0.886341647692397
"11638","TGFB1","TUBA1B",0.795601211494991
"12068","CA2","TUBA4A",0.71230629903922
"12080","FERMT3","TUBA4A",0.691851350068797
"12085","AP2S1","TUBA4A",0.598108538967448
"12119","HIST1H2AC","TUBA4A",0.713453623902146
"12121","ASAH1","TUBA4A",0.557919718520476
"12130","SAT1","TUBA4A",0.64124951281686
"12268","SDPR","TUBA4A",0.75583555871705
"12294","FTH1","TUBA4A",0.710950808318946
"12480","DMTN","RBBP6",0.563801523456119
"12486","ODC1","RBBP6",0.625355210063555
"12491","HLA-DRA","RBBP6",0.617979800354122
"12552","LCN2","RBBP6",0.600805774282815
"12558","ENKUR","RBBP6",0.585332870653566
"12570","BTK","RBBP6",0.57892320674717
"12574","ANXA1","RBBP6",0.548867474115453
"12588","N4BP2L1","RBBP6",0.560340164902556
"12894","ACP1","AP2S1",0.623488122638083
"13229","C19orf33","CCND3",0.68231260050229
"13278","ATP9A","CCND3",0.565029024772399
"13307","ATP5C1","CCND3",0.600049491870236
"13736","ENKUR","HLA-DRA",0.553475335773517
"13742","GFI1B","HLA-DRA",0.581552649423392
"13750","ANXA1","HLA-DRA",0.606472822381657
"13996","MT-CO2","PLA2G12A",0.743318147148748
"14017","CCND3","PLA2G12A",0.676451447807373
"14047","ITGB3","PLA2G12A",0.669239100091414
"14049","HIST1H2AC","PLA2G12A",0.55656792397261
"14050","C6orf25","PLA2G12A",0.822196702847499
"14053","CAPZA2","PLA2G12A",0.760230655915601
"14054","MPP1","PLA2G12A",0.570570886630604
"14065","NDFIP1","PLA2G12A",0.752430888204581
"14074","ISCU","PLA2G12A",0.594271555219703
"14399","RP11-879F14.2","S100A4",0.631095350100524
"14414","CAPZA2","S100A4",0.600618387638851
"14430","NFE2","S100A4",0.667960785352145
"14433","RAB32","S100A4",0.751769575761681
"14437","HSP90AA1","S100A4",0.600602846165257
"14439","CFD","S100A4",0.67097521271532
"14446","NPC2","S100A4",0.865373691131499
"14467","CTSS","S100A4",0.757854534804046
"14477","HLA-DRB1","S100A4",0.856880019084393
"14480","HLA-DPB1","S100A4",0.679340632961682
"14502","LST1","S100A4",0.67097521271532
"14514","S100A11","S100A4",0.67097521271532
"14515","FCGR3A","S100A4",0.67097521271532
"14522","MAPK14","S100A4",0.67097521271532
"14531","MOB2","S100A4",0.656765118388211
"14539","DUSP22","S100A4",0.767649097620747
"14540","PSMB8","S100A4",0.767649097620747
"14547","CEBPB","S100A4",0.67097521271532
"14548","PPP2CA","S100A4",0.728089398012657
"14550","HNRNPF","S100A4",0.728089398012657
"14551","ORAI1","S100A4",0.728089398012657
"14571","GZMB","S100A4",0.650271272190278
"14576","BBC3","S100A4",0.67097521271532
"14595","NDNL2","S100A4",0.63840519180324
"14596","AATK","S100A4",0.63840519180324
"14622","HLA-DPA1","S100A4",0.67097521271532
"14623","CTSC","S100A4",0.67097521271532
"14628","EIF3H","S100A4",0.593181652090223
"14629","BLOC1S1","S100A4",0.593181652090223
"14630","ERH","S100A4",0.593181652090223
"14631","FCGRT","S100A4",0.67097521271532
"14632","GNAZ","S100A4",0.67097521271532
"14644","EIF5","S100A4",0.67097521271532
"14681","FGR","S100A4",0.67097521271532
"14683","CHIC2","S100A4",0.67097521271532
"14686","FGL2","S100A4",0.67097521271532
"14688","FRMD3","S100A4",0.67097521271532
"14689","ADA","S100A4",0.67097521271532
"14690","POU2F2","S100A4",0.67097521271532
"14747","ATP6V0B","S100A4",0.67097521271532
"14748","CYTIP","S100A4",0.67097521271532
"14749","HLA-DRB5","S100A4",0.67097521271532
"14751","HBP1","S100A4",0.67097521271532
"14752","ITM2A","S100A4",0.67097521271532
"14754","KLF6","S100A4",0.67097521271532
"14755","KIF5B","S100A4",0.67097521271532
"14756","AFAP1L2","S100A4",0.67097521271532
"14757","RHOG","S100A4",0.67097521271532
"14758","MS4A7","S100A4",0.67097521271532
"14759","DNAJC15","S100A4",0.67097521271532
"14761","CD79B","S100A4",0.67097521271532
"14762","RBM39","S100A4",0.67097521271532
"14763","RP11-290F20.3","S100A4",0.67097521271532
"14764","EFHD2","S100A4",0.67097521271532
"14765","PTAFR","S100A4",0.67097521271532
"14766","CKS1B","S100A4",0.67097521271532
"14767","RNF187","S100A4",0.67097521271532
"14769","EIF4E2","S100A4",0.67097521271532
"14770","KLHL6","S100A4",0.67097521271532
"14771","PARL","S100A4",0.67097521271532
"14772","NAAA","S100A4",0.67097521271532
"14773","ANXA5","S100A4",0.67097521271532
"14774","H2AFY","S100A4",0.67097521271532
"14775","ABRACL","S100A4",0.67097521271532
"14777","GNB2","S100A4",0.67097521271532
"14778","GIMAP7","S100A4",0.67097521271532
"14779","MID1IP1","S100A4",0.67097521271532
"14780","CFP","S100A4",0.67097521271532
"14781","RBM3","S100A4",0.67097521271532
"14782","NONO","S100A4",0.67097521271532
"14783","LYPLA1","S100A4",0.67097521271532
"14784","NDUFB6","S100A4",0.67097521271532
"14785","DNAJA1","S100A4",0.67097521271532
"14786","PPP6C","S100A4",0.67097521271532
"14788","RXRA","S100A4",0.67097521271532
"14789","FCN1","S100A4",0.67097521271532
"14790","GDI2","S100A4",0.67097521271532
"14791","PRPF18","S100A4",0.67097521271532
"14792","IFITM3","S100A4",0.67097521271532
"14795","FKBP2","S100A4",0.67097521271532
"14796","PICALM","S100A4",0.67097521271532
"14800","KCTD10","S100A4",0.67097521271532
"14801","HCAR3","S100A4",0.67097521271532
"14802","EPSTI1","S100A4",0.67097521271532
"14803","GMPR2","S100A4",0.67097521271532
"14804","CGRRF1","S100A4",0.67097521271532
"14806","EMC7","S100A4",0.67097521271532
"14807","MRPL28","S100A4",0.67097521271532
"14808","RPUSD1","S100A4",0.67097521271532
"14809","PYCARD","S100A4",0.67097521271532
"14811","DNAJC7","S100A4",0.67097521271532
"14812","ABI3","S100A4",0.67097521271532
"14813","ERGIC3","S100A4",0.67097521271532
"14814","MAFB","S100A4",0.67097521271532
"14816","C5AR1","S100A4",0.67097521271532
"14817","LILRB2","S100A4",0.67097521271532
"14820","ATXN10","S100A4",0.67097521271532
"14872","ASAH1","F13A1",0.717852302469778
"15061","SRGN","TMEM50A",0.57416111618972
"15302","COTL1","FLNA",0.753489644371558
"15309","C9orf16","FLNA",0.68745202293006
"15345","ACADVL","FLNA",0.698143002843064
"15350","AP001189.4","FLNA",0.593373785528851
"15368","ANXA1","FLNA",0.577292349299838
"15503","ACRBP","CLEC1B",0.627631879693658
"15573","ARHGAP6","CLEC1B",0.675514336299729
"15602","BTK","CLEC1B",0.628466032249515
"15632","AC137932.6","CLEC1B",0.612775060694756
"15986","ATP6V0E1","LYZ",0.567391982241182
"16038","GATA2","LYZ",0.683957359466784
"16046","CTSS","LYZ",0.555291921555417
"16048","BNIP2","LYZ",0.6713440552654
"16054","HLA-DPB1","LYZ",0.549861127445182
"16123","CORO7","LYZ",0.563697720629759
"16124","FAM32A","LYZ",0.563697720629759
"16479","ACTB","ITGA2B",0.797092934092456
"16582","CMTM5","TMEM40",0.716267496370426
"16622","NENF","TMEM40",0.617252472599742
"17128","ARPC5","CD9",0.656959026045143
"17139","ARPC1B","CD9",0.706033043300068
"17169","ACTB","CD9",0.751477826603563
"17232","CCL5","CD9",0.702437623693571
"17243","CLDN5","RASGRP2",0.778890641047097
"17248","ARL6IP5","RASGRP2",0.733127019682104
"17251","HIST1H2BJ","RASGRP2",0.729147744790792
"17254","GABARAPL2","RASGRP2",0.649907760176892
"17281","ESAM","RASGRP2",0.58518812024556
"17287","CCNG1","RASGRP2",0.634980268758041
"17300","FYB","RASGRP2",0.594739551746298
"17308","FAM110A","RASGRP2",0.661344119159753
"17312","CD47","RASGRP2",0.584907174718004
"17318","MRPL51","RASGRP2",0.603099233924747
"17334","FAM212A","RASGRP2",0.59392896031859
"17353","DAB2","RASGRP2",0.662134534339122
"17359","ARG2","RASGRP2",0.582669205623603
"17372","hsa-mir-1199","RASGRP2",0.661293689654853
"17380","LTB","RASGRP2",0.656474997890324
"17393","ATP1A1","RASGRP2",0.644657064800009
"17395","C14orf166","RASGRP2",0.644657064800009
"17413","MNDA","RASGRP2",0.614844227931432
"17414","MADD","RASGRP2",0.614844227931432
"17415","CHTF8","RASGRP2",0.614844227931432
"17584","RBBP6","RP11-367G6.3",0.579070900994358
"17591","CLEC1B","RP11-367G6.3",0.577647324310461
"17604","LY6G6F","RP11-367G6.3",0.552614733338797
"17611","GP1BA","RP11-367G6.3",0.668267233028821
"17635","ARHGAP6","RP11-367G6.3",0.569375553648
"17647","LDLRAP1","RP11-367G6.3",0.553679153101455
"18311","ATP6V1D","HGD",0.600823813680183
"18510","ACRBP","STX11",0.6176579133874
"18515","PTCRA","STX11",0.569250086563354
"18521","MAP3K7CL","STX11",0.71524559784352
"18523","FHL1","STX11",0.589422373592277
"18534","PLA2G12A","STX11",0.564914556544833
"18549","RP11-879F14.2","STX11",0.616569085720875
"18566","CAPZA2","STX11",0.821123654635792
"18570","ADI1","STX11",0.557737206297728
"18578","NDFIP1","STX11",0.813101450496085
"18584","RAB32","STX11",0.653414907201741
"18597","LDLRAP1","STX11",0.582453137110594
"18601","GTPBP2","STX11",0.551828582243281
"18602","HMGB2","STX11",0.607407617215398
"18876","GSTO1","PDZK1IP1",0.558799990071519
"18879","ACRBP","PDZK1IP1",0.608463807368144
"18885","MMD","PDZK1IP1",0.596216251171702
"18891","FHL1","PDZK1IP1",0.557364341270303
"18907","NT5C3A","PDZK1IP1",0.698189444906262
"18930","CAPZA2","PDZK1IP1",0.548505537604436
"18939","ACP1","PDZK1IP1",0.705810795826499
"18941","NDFIP1","PDZK1IP1",0.576723069025869
"18958","JAK1","PDZK1IP1",0.589672087534861
"18964","HMGB2","PDZK1IP1",0.564263310007528
"18971","C17orf59","PDZK1IP1",0.566296385228033
"19004","ADH5","PDZK1IP1",0.585719576827207
"19123","TSC22D1","YPEL5",0.803802275122842
"19135","MMD","YPEL5",0.557358398718344
"19139","MAP3K7CL","YPEL5",0.602180223046266
"19144","SLC40A1","YPEL5",0.741602251115372
"19147","CCND3","YPEL5",0.563268786156226
"19150","F13A1","YPEL5",0.555403375673304
"19165","VAPA","YPEL5",0.597195020239429
"19175","C19orf33","YPEL5",0.726649539241184
"19176","CCNG1","YPEL5",0.676207944125547
"19180","HIST1H2AC","YPEL5",0.551133516884507
"19183","UBAC2","YPEL5",0.623542973017682
"19191","FYB","YPEL5",0.869975199498404
"19209","UBE2B","YPEL5",0.690685907789989
"19217","HMGB2","YPEL5",0.62862185343333
"19223","ATP9A","YPEL5",0.724443583850425
"19489","ACRBP","NT5C3A",0.564841046412055
"19495","MMD","NT5C3A",0.595290853226003
"19497","HIST1H2BJ","NT5C3A",0.558159276412307
"19503","CCND3","NT5C3A",0.588594679892109
"19527","ICAM2","NT5C3A",0.617906741346288
"19550","ACP1","NT5C3A",0.713463887464282
"19590","LINC01003","NT5C3A",0.594558230639952
"19599","NEXN","NT5C3A",0.582104358842948
"19603","ABCC3","NT5C3A",0.564344133802999
"20517","ARPC5","GRAP2",0.705991431937275
"20610","FTL","GRAP2",0.699168649176295
"20645","FTH1","GRAP2",0.555633196165345
"20840","ADI1","VKORC1",0.716514411643951
"20862","RNF213","VKORC1",0.825584870796204
"20918","VAMP8","VKORC1",0.692207027545368
"20919","GUSB","VKORC1",0.692207027545368
"20920","CTSZ","VKORC1",0.692207027545368
"20921","DOCK10","VKORC1",0.6639279578453
"20922","TMEM14B","VKORC1",0.6639279578453
"20923","TSPAN15","VKORC1",0.6639279578453
"20924","SCPEP1","VKORC1",0.6639279578453
"21126","ARPC1B","ZMAT2",0.557631981343052
"21197","CLU","LAMTOR1",0.554625379929027
"21235","GP9","LAMTOR1",0.808664235438798
"21440","TSC22D1","VAPA",0.578684950391738
"21451","MMD","VAPA",0.603783524403562
"21470","RASGRP2","VAPA",0.652657171557396
"21476","GRAP2","VAPA",0.597637893453047
"21488","TERF2IP","VAPA",0.567931368234698
"21500","RHOC","VAPA",0.549369804424008
"21796","CLEC1B","TMEM219",0.620330472147723
"21852","C17orf59","TMEM219",0.60454506914675
"21864","GYG1","TMEM219",0.551501506043005
"21868","NDUFA2","TMEM219",0.576471319278006
"21877","PNRC1","TMEM219",0.573847836804747
"21884","TCEA1","TMEM219",0.592586787933733
"21885","ADH5","TMEM219",0.599773400512231
"21886","PSMC4","TMEM219",0.588749850194937
"21903","SDHB","TMEM219",0.551501506043005
"21904","RIT1","TMEM219",0.551501506043005
"21905","PSMC6","TMEM219",0.551501506043005
"21907","PDK2","TMEM219",0.551501506043005
"21908","PHF5A","TMEM219",0.551501506043005
"22443","MT-CO2","RP11-879F14.2",0.571160393047655
"22460","PLA2G12A","RP11-879F14.2",0.567635145989581
"22488","CAPZA2","RP11-879F14.2",0.845794876575858
"22498","NDFIP1","RP11-879F14.2",0.842563618989409
"22518","NPC2","RP11-879F14.2",0.646427809208663
"22524","HMGB2","RP11-879F14.2",0.711132745024644
"22602","GZMB","RP11-879F14.2",0.54859334496795
"22889","CFD","FCER1G",0.706120416261761
"22937","C1orf198","FCER1G",0.787102593673598
"22965","ARF4","FCER1G",0.744189816579886
"22970","DHRS7","FCER1G",0.63782116152724
"23000","CEBPB","FCER1G",0.706120416261761
"23015","CRLS1","FCER1G",0.58334812703773
"23027","BBC3","FCER1G",0.706120416261761
"23049","CTSC","FCER1G",0.706120416261761
"23071","EIF5","FCER1G",0.706120416261761
"23110","CHIC2","FCER1G",0.706120416261761
"23116","ADA","FCER1G",0.706120416261761
"23118","ATP6V0B","FCER1G",0.706120416261761
"23119","CYTIP","FCER1G",0.706120416261761
"23127","AFAP1L2","FCER1G",0.706120416261761
"23130","DNAJC15","FCER1G",0.706120416261761
"23132","CD79B","FCER1G",0.706120416261761
"23135","EFHD2","FCER1G",0.706120416261761
"23137","CKS1B","FCER1G",0.706120416261761
"23140","EIF4E2","FCER1G",0.706120416261761
"23144","ANXA5","FCER1G",0.706120416261761
"23146","ABRACL","FCER1G",0.706120416261761
"23151","CFP","FCER1G",0.706120416261761
"23156","DNAJA1","FCER1G",0.706120416261761
"23173","EPSTI1","FCER1G",0.706120416261761
"23175","CGRRF1","FCER1G",0.706120416261761
"23177","EMC7","FCER1G",0.706120416261761
"23182","DNAJC7","FCER1G",0.706120416261761
"23183","ABI3","FCER1G",0.706120416261761
"23184","ERGIC3","FCER1G",0.706120416261761
"23187","C5AR1","FCER1G",0.706120416261761
"23191","ATXN10","FCER1G",0.706120416261761
"23236","AP3S1","GMPR",0.646716189518457
"23287","CTTN","GMPR",0.975031780986426
"23355","BET1","GMPR",0.548807267507059
"23404","GMPPA","GMPR",0.616937617836062
"23412","CORO1C","GMPR",0.612190920655961
"23413","EGLN3","GMPR",0.612190920655961
"23419","CD55","GMPR",0.638105157060251
"23420","ASAP2","GMPR",0.638105157060251
"23421","FGFR1OP2","GMPR",0.638105157060251
"23428","DCAF8","GMPR",0.661571511957216
"23432","BTN3A2","GMPR",0.661571511957216
"23434","FNTA","GMPR",0.661571511957216
"23435","COMMD3","GMPR",0.661571511957216
"23441","EIF1AY","GMPR",0.661571511957216
"23455","DUSP23","GMPR",0.616937617836062
